Abrolhos;-38.70331820389126;-17.96304235261194
Acarau;-40.08726609595266;-3.1210816826035503
Afonso claudio;-41.10694444;-20.10416666
Agua boa;-52.21166666;-14.01638888
Agua clara;-52.87583221231524;-20.44444295863845
Aguas emendadas;-47.625801;-15.596491
Aguas vermelhas;-41.45778393140858;-15.75157943902012
Aimores;-41.09082252717638;-19.532774505428804
Alegre;-41.48888888;-20.75055555
Alegrete;-55.52550898521008;-29.70911065232493
Alfredo chaves;-40.74186006152188;-20.636480385670037
Almas;-47.21218974941485;-11.28414372819198
Almenara;-40.687770497761086;-16.166702182732475
Alta floresta;-56.17916666;-10.07722221
Altamira;-52.39472221;-3.270185342307692
Alto araguaia;-53.22444442999999;-17.33944444
Alto paraiso de goias;-47.52333332;-14.13305554
Alto parnaiba;-45.931968315938654;-9.108288498392636
Alto taquari;-53.28944444;-17.8411111
Alvorada do gurgueia;-43.86352125497084;-8.419936685679676
Amambai;-55.32944443;-23.0025
Amargosa;-39.61692326350858;-13.009452301935012
Angelica;-53.763736;-22.148083
Angical do piaui;-42.72749999;-6.08944444
Angra dos reis;-44.30337034462838;-22.97560184925676
Apiacas;-57.3936111;-9.56333333
Apodi;-37.81499699574468;-5.62663072243026
Apui;-59.88857767462006;-7.205501809194529
Aquidauana;-55.78388888;-20.47555554
Aracaju;-37.05436809193687;-10.952441958393116
Aracuai;-42.17075856044061;-16.84888888
Aragarcas;-52.24524248337865;-15.902737812747096
Araguacu;-49.528653483762376;-12.592219133920793
Araguaina;-48.20115114845238;-7.1039106274686725
Araguatins;-48.11187407907693;-5.643687106346154
Aral moreira;-55.626;-22.955028
Arapiraca;-36.61916666;-9.80444444
Ararangua;-49.49792;-28.931353
Araxa;-46.94965199585624;-19.60574167988724
Arco verde;-37.05555555;-8.4336111
Areia;-35.718128;-6.9754510000000005
Ariquemes;-62.961896769798905;-9.94896369499086
Ariranha;-48.840555550000005;-21.13305554
Arq;-29.345904;0.916877
Arraial do cabo;-42.02138888;-22.97527777
Autazes;-59.12944147440184;-3.583333109831288
Avare;-48.9411111;-23.10166666
Bacabal;-44.79499999;-4.24305555
Bage;-54.013319435584044;-31.34778557951567
Baixa grande do ribeiro;-45.094625;-8.333531
Balsas;-46.02751534501196;-7.455573387978469
Bambui;-46.00888888;-20.0311111
Bandeirantes;-54.36857203182876;-19.945547271149373
Barbacena;-43.76772787086316;-21.228359801178943
Barbalha;-39.2711111;-7.30083333
Barcelos;-62.92416666;-0.98722221
Barra;-43.13888888;-11.08472221
Barra bonita;-48.55749999999999;-22.4711111
Barra do corda;-45.23694444;-5.50666666
Barra do turvo;-48.41638887999999;-24.962777769999995
Barreiras;-45.02694443;-12.12472221
Barretos;-48.54499999;-20.55916666
Barueri;-46.86944443;-23.52388888
Bataguassu;-52.47135722410352;-21.75004103789279
Bauru;-49.028877;-22.358052
Bebdouro;-48.48999999;-20.94916666
Bebedouro;-48.48071653845606;-20.94861242460808
Bela vista;-56.54083333;-22.10166666
Belem;-48.439512;-1.411228
Belmonte;-39.21527777;-16.08805555
Belo horizonte (pampulha);-43.96944443;-19.88388888
Belo horizonte - cercadinho;-43.95861111;-19.97999999
Bento goncalves;-51.534202;-29.164581
Bertioga;-46.14333333;-23.84472221
Boa vista;-60.69082510245871;2.8169127809908256
Boca do acre;-67.33251902195282;-8.776712508945783
Bom jardim da serra - morro da igreja;-49.47964639243244;-28.12697657189189
Bom jesus da lapa;-43.40532143137427;-13.251102545903777
Bom jesus do piaui;-44.32685122687084;-9.08222369617843
Bonito;-56.45049874855612;-21.24671135080578
Braganca;-46.78583333;-1.04722221
Braganca paulista;-46.52908074035242;-22.951022444992656
Brasilandia;-52.06890294655478;-21.298305652102563
Brasilia;-47.925807525135056;-15.789410598418268
Brasnorte (novo mundo);-58.23138888;-12.52194443
Brazlandia;-48.1311111;-15.59972221
Brejo grande;-36.48194443;-10.47388888
Breves;-50.4780834067563;-1.6802688316694678
Brumado;-41.67225163710814;-14.181915183088476
Buriticupu;-46.44946398418836;-4.320569377125155
Buritirama;-43.65111111;-10.72305554
Buritis;-46.43555555;-15.52416666
Caarapo;-54.819306;-22.657056
Cabaceiras;-36.28642899067678;-7.483269584462366
Cabrobo;-39.31527925762705;-8.503963007855296
Cacador;-50.98552;-26.819156
Cacapava do sul;-53.46697990609756;-30.54529095298103
Caceres;-57.69305555;-16.07472221
Cachoeira paulista;-45.00555555;-22.68888888
Cacoal;-61.43415976078931;-11.445834555561628
Caiaponia;-51.81749999;-16.96694443
Caico;-37.08499999;-6.46749999
Calcanhar;-35.48753871500712;-5.159974964438122
Caldas;-46.382996;-21.918066
Camapua;-54.030083;-19.587528
Camaqua;-51.83421580798611;-30.807986827256943
Camaratuba;-35.13527777;-6.56194444
Cambara do sul;-50.14966421418181;-29.04913863418182
Cambuci;-41.95833333;-21.58749999
Cameta;-49.49979213032816;-2.2396760301554406
Campina da lagoa;-52.8002704643018;-24.57084260900901
Campina grande;-35.904831;-7.225574
Campina verde;-49.518133;-19.53921
Campo bom;-51.064042;-29.674293
Campo grande;-54.72257669716976;-20.447204061994704
Campo maior;-42.14555555;-4.86416666
Campo novo dos parecis;-57.8386111;-13.78583333
Campo verde;-55.150171082614;-15.540546715581243
Campos do jordao;-45.60388888;-22.75027777
Campos dos goytacazes;-41.34388888000001;-21.71472222
Campos dos goytacazes - sao tome;-41.05166666;-22.04166666
Campos lindos;-46.63944444;-8.15472222
Campos novos;-51.21583333;-27.3886111
Campos sales;-40.36277777;-7.07777777
Canela;-50.82722221;-29.36888888
